iter	Passed	Remaining
399	85012	127519
400	85242	127331
401	85437	127093
402	85648	126878
403	85844	126642
404	86047	126414
405	86252	126191
406	86451	125960
407	86650	125728
408	86853	125502
409	87062	125284
410	87253	125042
411	87462	124824
412	87673	124610
413	87862	124365
414	88075	124154
415	88279	123930
416	88475	123695
417	88676	123468
418	88881	123246
419	89105	123050
420	89299	122812
421	89517	122609
422	89723	122388
423	89923	122160
424	90113	121917
425	90325	121705
426	90523	121474
427	90725	121250
428	90932	121031
429	91145	120820
430	91364	120618
431	91562	120387
432	91758	120155
433	91956	119925
434	92164	119708
435	92356	119470
436	92561	119249
437	92755	119015
438	92956	118789
439	93168	118578
440	93370	118354
441	93565	118121
442	93776	117908
443	93991	117701
444	94181	117461
445	94356	117205
446	94561	116984
447	94773	116774
448	94966	116539
449	95183	116335
450	95382	116109
451	95576	115875
452	95761	115632
453	95975	115424
454	96165	115187
455	96359	114954
456	96546	114714
457	96756	114501
458	96966	114289
459	97170	114069
460	97386	113864
461	97569	113619
462	97775	113402
463	97960	113161
464	98163	112940
465	98360	112713
466	98574	112505
467	98758	112264
468	98974	112058
469	99182	111843
470	99388	111627
471	99593	111409
472	99781	111173
473	99976	110944
474	100187	110733
475	100392	110516
476	100581	110280
477	100776	110052
478	100981	109835
479	101176	109608
480	101381	109390
481	101571	109158
482	101747	108909
483	101937	108677
484	102138	108456
485	102326	108222
486	102512	107985
487	102702	107753
488	102913	107543
489	103111	107320
490	103319	107107
491	103518	106885
492	103722	106667
493	103931	106455
494	104138	106242
495	104330	106013
496	104539	105801
497	104747	105588
498	104959	105380
499	105137	105137
500	105336	104915
501	105535	104694
502	105745	104484
503	105946	104265
504	106148	104046
505	106340	103819
506	106533	103591
507	106710	103350
508	106902	103121
509	107094	102894
510	107306	102686
511	107503	102464
512	107717	102258
513	107925	102045
514	108134	101835
515	108326	101608
516	108526	101389
517	108741	101184
518	108950	100973
519	109150	100754
520	109343	100528
521	109544	100310
522	109758	100104
523	109952	99880
524	110183	99689
525	110380	99468
526	110573	99243
527	110788	99037
528	110986	98817
529	111204	98615
530	111432	98421
531	111640	98209
532	111837	97989
533	112035	97768
534	112213	97531
535	112426	97324
536	112642	97119
537	112817	96880
538	113007	96654
539	113207	96436
540	113388	96202
541	113589	95985
542	113777	95757
543	113982	95544
544	114186	95330
545	114378	95105
546	114585	94894
547	114772	94666
548	114953	94433
549	115151	94214
550	115362	94006
551	115577	93802
552	115775	93583
553	115980	93370
554	116191	93162
555	116387	92942
556	116584	92723
557	116797	92517
558	117001	92303
559	117199	92085
560	117413	91879
561	117631	91677
562	117825	91455
563	118031	91244
564	118249	91041
565	118456	90830
566	118665	90620
567	118861	90401
568	119067	90190
569	119261	89969
570	119447	89742
571	119653	89530
572	119837	89303
573	120052	89098
574	120251	88881
575	120442	88658
576	120634	88437
577	120842	88227
578	121059	88024
579	121250	87801
580	121461	87594
581	121682	87394
582	121877	87174
583	122087	86966
584	122296	86757
585	122490	86537
586	122683	86317
587	122878	86098
588	123068	85876
589	123269	85661
590	123481	85455
591	123715	85263
592	123942	85066
593	124136	84847
594	124337	84633
595	124535	84416
596	124729	84197
597	124945	83993
