iter	Logloss
0	0.607941799
1	0.5420153424
2	0.4899907564
3	0.4505959194
4	0.4196577734
5	0.3918546917
6	0.3704520785
7	0.3504767093
8	0.3361671338
9	0.325316214
10	0.3155074252
11	0.3085164326
12	0.3008057732
13	0.2942754676
14	0.289231687
15	0.2846453876
16	0.281324691
17	0.2775579911
18	0.2750982917
19	0.2726072523
20	0.2693485717
21	0.2663876358
22	0.2641259704
23	0.2620083313
24	0.2604177512
25	0.2594112828
26	0.2575360355
27	0.2565708599
28	0.2550633388
29	0.2542378543
30	0.2532140293
31	0.2519181325
32	0.250611933
33	0.2494877444
34	0.2485132826
35	0.247865111
36	0.2470223033
37	0.2460309948
38	0.2451593222
39	0.244251119
40	0.2429451573
41	0.242155267
42	0.2414702469
43	0.2409465256
44	0.2402248332
45	0.2394989824
46	0.2388689763
47	0.2380979252
48	0.2373894502
49	0.2370782358
50	0.2362585204
51	0.235714577
52	0.2352743344
53	0.2344733193
54	0.2340794871
55	0.233457025
56	0.2329538383
57	0.2322124602
58	0.2319349037
59	0.2314309231
60	0.2310619669
61	0.2306000537
62	0.2300519968
63	0.2296193125
64	0.2292414342
65	0.2288531173
66	0.22856144
67	0.228206806
68	0.2278345147
69	0.2276633684
70	0.2274658705
71	0.2269887778
72	0.2267206959
73	0.2263696543
74	0.2260418811
75	0.2257320144
76	0.2254216415
77	0.224976123
78	0.2247264731
79	0.2244232371
80	0.224207538
81	0.2238345129
82	0.223654934
83	0.22340287
84	0.2229884642
85	0.2225121675
86	0.2222961977
87	0.2219513838
88	0.2216674938
89	0.2214264398
90	0.2210422414
91	0.220858644
92	0.2205365112
93	0.2201697026
94	0.2199008457
95	0.2196776261
96	0.2194296311
97	0.2192017495
98	0.2188016035
99	0.2184046392
100	0.2180739494
101	0.2176099347
102	0.217208255
103	0.2168636145
104	0.2166440961
105	0.21625253
106	0.2158861656
107	0.2156616611
108	0.2152944669
109	0.2148649357
110	0.2143669967
111	0.2140154797
112	0.2136062301
113	0.2131043735
114	0.2127551758
115	0.2123463712
116	0.2119700268
117	0.2117201534
118	0.2112578321
119	0.2107971632
120	0.2103618186
121	0.2099625461
122	0.2095645621
123	0.209330143
124	0.2088495038
125	0.2083533066
126	0.2078727682
127	0.2075261902
128	0.2071328454
129	0.2068313439
130	0.2063341523
131	0.2059050205
132	0.2056538329
133	0.2052483042
134	0.2048274116
